,precision,recall,f1-score,support
0,0.8769866099361782,0.9433301924888948,0.9089494163424124,7429.0
1,0.7632170978627671,0.57991452991453,0.6590577950461389,2340.0
accuracy,0.8562800696079435,0.8562800696079435,0.8562800696079435,0.8562800696079435
macro avg,0.8201018538994727,0.7616223612017123,0.7840036056942756,9769.0
weighted avg,0.8497350326762968,0.8562800696079435,0.8490920723119816,9769.0
