0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
-34.957703,-20.030912,-15.569628,-16.581474,-6.5035,7.2441998,10.072289,11.77013,14.8818,13.431286,9.9488735,7.356741,9.254511,9.353714,9.340139,10.650365,11.882136,12.175392,12.465985,11.779903,12.918097,12.499655,10.658878,13.952518,16.990143,15.735687,13.106045,13.003422,17.509672,18.298538,17.484632,17.451956,20.718258,20.156496,15.431934,17.542582,24.33147,21.894909,16.339207,17.628311,18.44898,15.503429,15.94788,22.964163,33.77909,49.660202,48.548256,50.824516,51.187653,50.20543,51.295547,50.054916,49.397926,48.724373,49.34016,48.792343,47.06378,46.912125,47.16477,46.831917,46.492023,46.522778,46.202805,46.240837,46.192524,45.93681,46.191307,46.32805,46.172108,45.96571,45.90576,45.900658,45.91831,45.918457,45.751694,45.62658,45.64882,45.654224,45.650215,45.651928,47.422195,47.591736
-51.381584,-41.785206,-43.115326,-54.763733,-26.912607,-10.812032,-4.0991697,-2.3871279,0.87205315,3.0321903,0.030369759,-1.5031433,-0.52573013,3.2710733,5.685136,5.6293983,4.909046,4.895438,4.826294,5.2238064,4.820483,3.4869099,3.0941782,4.2668333,2.0332336,2.1789818,3.41296,2.2441235,3.607668,3.9145527,3.0900383,3.5019035,7.122532,8.074738,4.6395607,4.9272976,9.905169,6.2806187,2.6442184,2.5016708,2.309166,1.1555138,1.8113155,9.350636,23.35708,50.543625,49.380657,49.02784,48.19958,49.61953,50.870613,50.653435,51.568684,53.24472,52.77559,50.855618,47.489113,48.86824,48.259445,46.42242,44.59671,44.117416,43.20396,42.491905,44.32325,42.406982,40.21862,41.887924,39.571045,35.446354,38.573883,39.291912,36.08274,32.846268,27.855724,21.962841,0.75632477,0.0,0.0,0.0,31.747608,36.268574
-56.12304,-45.830673,-43.96511,-56.23862,-26.92945,-9.100739,2.4938087,2.7075615,2.4616508,4.9657955,3.037078,5.0217667,7.3851185,7.02248,5.7448673,4.197294,6.1808767,5.0951557,3.0427856,3.51157,5.0659046,3.1153355,-0.12431145,-1.2613964,3.2827415,3.7764606,3.484682,1.8767376,3.7689457,-0.2714138,-0.45737076,3.8178139,4.4523354,2.5720806,3.7157326,7.135597,9.378534,5.87208,1.8203754,2.4251995,0.66326714,1.4071045,6.64093,14.158382,26.836712,55.510643,55.047573,51.938736,51.13942,54.66073,54.404762,51.812798,50.400993,54.471504,54.13501,49.726414,48.30854,48.576015,50.012207,48.062443,42.7042,44.414936,44.48198,41.69357,42.71039,40.396053,37.977962,39.301533,39.448433,36.730934,36.65062,37.36808,35.71072,33.70922,29.535484,19.464577,0.0,0.0,0.0,0.0,27.829105,32.347363
-47.50685,-36.83397,-35.733925,-48.208675,-20.083385,0.80067253,12.537627,15.595242,17.358356,23.721632,19.738487,18.410437,20.920856,18.487276,17.025175,18.34412,22.392612,18.984646,15.25856,20.444183,22.00943,20.045557,16.905252,14.386095,18.615341,16.083263,14.446144,16.454857,18.890972,13.714588,15.95071,21.419819,20.863,19.943441,20.301151,21.29659,21.864443,19.288929,20.213589,19.657183,15.197353,15.514374,19.971235,27.59438,36.855698,56.88389,58.838547,57.21971,56.608475,58.63903,56.59662,52.946846,52.95768,56.774612,55.5587,49.04129,47.576004,48.069916,49.657455,49.309185,47.90596,47.404827,48.14055,46.93409,45.878,43.35547,40.547836,41.534424,38.199654,37.4907,37.281776,35.494274,32.991405,31.086891,29.4962,22.562756,0.0,0.0,0.0,0.0,25.205078,29.72776
-43.825817,-29.309032,-21.066921,-31.255669,-4.609539,21.62376,34.46957,37.372993,38.856155,43.34534,44.42549,44.189896,43.004047,39.393295,36.285225,36.473038,37.260887,35.849293,34.06111,36.486214,38.466026,34.693916,34.319572,38.405396,37.29258,35.928604,33.332443,34.959023,38.246735,34.119396,35.350094,40.52662,37.39218,43.342434,41.676857,35.814774,36.86081,34.826782,36.881104,42.237846,40.502426,41.38118,42.476856,45.193703,51.991356,59.721893,59.176746,56.13508,55.060402,57.448185,57.22025,55.198322,55.04731,53.297695,51.277206,50.272255,51.07809,48.99109,50.91157,51.89873,48.046158,45.75041,45.14837,46.106785,45.754772,45.884148,43.004257,41.13764,38.753372,39.71454,40.399662,39.10817,38.550182,39.22339,35.81163,27.28804,0.0,0.0,0.0,0.0,23.253292,27.763111
-54.803326,-45.08815,-45.519093,-57.331764,-23.822315,0.9466429,12.523631,14.111799,11.576502,13.692293,12.607924,10.854805,11.530072,11.7707405,11.561767,11.678787,8.517151,9.556919,10.528015,11.5161,15.214907,14.523903,11.668793,10.540792,10.579302,13.5743885,11.383884,9.853556,10.192524,9.590511,10.107162,12.256962,9.426693,13.937983,14.498171,11.948904,14.917534,14.820082,12.556715,11.814693,11.793901,12.281355,16.898775,22.131804,34.20343,57.989243,55.416203,54.423557,53.869377,54.50258,54.388268,52.31866,53.174942,53.88695,51.82177,50.855965,50.31298,47.574036,48.656143,49.716465,44.159813,45.17488,47.677605,48.179466,45.663586,45.898777,44.187508,43.48388,42.008526,38.872414,40.26381,43.195602,42.353195,40.850166,36.711037,26.065666,3.2108994,0.0,0.0,0.0,21.580948,26.097843
-58.245876,-49.263718,-49.447422,-61.251396,-27.527832,-4.8395433,4.547778,8.604771,8.659243,9.954145,9.150377,7.4139347,10.969528,10.145914,10.033358,8.900698,7.0514946,7.499983,5.1086216,7.4890594,8.900616,6.0969257,7.480461,13.491196,15.330757,15.156075,13.242281,14.824854,15.938248,14.680258,13.47872,13.766565,13.100903,15.644274,14.57591,12.361679,12.501255,11.38648,8.71512,8.499449,8.655365,8.544071,9.689362,16.857582,30.95925,54.864746,52.71202,52.341667,52.745346,52.51326,54.04261,52.12382,51.588562,51.40124,51.02282,49.694412,47.709373,48.553333,51.64879,49.649857,43.972,46.189106,49.389496,49.802177,46.350098,46.591675,48.83601,48.87288,46.51185,44.310947,43.670258,44.5935,41.713463,37.56528,33.151775,27.196857,2.030243,0.0,0.0,0.0,20.23508,24.752304
-49.501736,-42.63519,-49.2629,-65.49628,-28.19036,-3.5113726,3.4047203,3.124012,1.9791107,4.4918203,3.992032,1.9407845,1.5206375,0.95874786,-3.043602,-2.0836754,-5.289465,-9.8447,-6.9320526,-2.7641277,-2.2017212,-0.98093796,4.1799793,6.6981487,10.555043,10.608923,9.061937,10.451986,10.650238,10.608685,14.934959,15.542375,15.197905,13.080717,10.874708,12.433552,14.587078,8.832846,3.9741611,10.3709755,8.871988,4.315735,10.143936,20.21641,33.586178,52.38228,49.97854,51.419266,53.351547,53.55251,52.345932,49.458645,51.959858,51.27352,50.354107,50.028496,48.25745,46.669025,50.960052,50.80117,46.95616,48.186325,50.300987,49.295567,46.329525,44.35328,46.481155,46.420216,45.54377,42.28916,40.470215,38.93709,36.125023,34.150383,34.032722,28.188358,0.0,0.0,0.0,0.0,19.011543,23.537716
-57.741837,-52.544052,-56.568504,-72.03784,-34.89262,-6.4640493,0.20746326,-1.7923937,-3.8491173,-0.6857929,-3.0916767,-7.3737183,-11.145065,-12.28563,-13.239079,-9.93843,-12.868057,-14.527897,-10.906279,-9.050042,-8.2325325,-6.5120497,-0.7209015,0.26544762,0.5288248,-2.069252,-0.7965889,2.9828682,0.003145218,-0.81635094,0.87041473,3.6351128,4.869421,7.65431,4.579653,7.522852,13.511837,7.032509,-1.5448608,2.3495598,0.38246536,-1.8502522,2.626484,12.180878,23.769428,52.999638,53.015232,53.606995,52.250298,53.28222,52.207954,50.96076,54.660892,52.38035,47.757645,46.89282,44.940975,43.505913,44.993896,43.86666,42.542564,45.492233,46.34458,43.269783,40.728153,39.114204,41.144287,44.140205,41.89337,38.5205,38.006474,36.03299,32.527172,32.05508,31.965149,25.584557,0.0,0.0,0.0,0.0,18.01944,22.542515
-62.2207,-53.27096,-53.72685,-64.59189,-32.99765,-0.86529064,9.252241,10.738809,10.329831,11.07874,5.763365,-3.257351,-3.232481,-2.5500813,-4.1278553,-6.0208416,-3.9739304,-2.1128807,-1.5089588,1.3190918,4.707369,5.110362,3.9673157,2.6869965,4.057761,3.2833004,3.940546,4.020979,2.33214,1.9415779,3.383709,7.1757374,9.090729,12.577461,14.207481,15.649832,18.865734,16.273804,9.809883,9.026539,6.4091415,6.7871494,6.260044,12.654366,26.472939,53.772396,51.894325,52.30131,52.36143,51.691883,49.0916,48.03273,50.073826,48.26044,43.254353,44.434353,44.903187,42.99408,42.351585,39.471176,39.55193,43.277737,44.079185,41.14097,36.62133,36.62332,37.760292,37.670033,38.0373,35.53057,32.88277,30.652668,29.844246,30.29187,28.749683,18.416279,0.0,0.0,0.0,0.0,17.167458,21.67516
