Original_Frame,Hamming_Windowed_Frame
-3.4666299e-09,-2.773303897640745e-10
4.712576e-10,3.772748472253049e-11
-3.3714014e-09,-2.704811989527983e-10
-5.9480403e-09,-4.788958754513089e-10
5.229392e-09,4.231219224777526e-10
-9.217751e-09,-7.505566626755384e-10
-8.865595e-10,-7.274374413724218e-11
3.5250298e-09,2.9184387588046825e-10
-5.6442744e-09,-4.721176884435277e-10
3.0577156e-09,2.587197742287746e-10
2.2779036e-09,1.951974992584621e-10
-6.9348607e-09,-6.025284453784928e-10
-1.5521051e-09,-1.3687803192273582e-10
4.5653494e-09,4.0907953656718693e-10
-4.1132986e-09,-3.7485997165418685e-10
-9.400977e-09,-8.72159912570366e-10
-5.098422e-09,-4.819227046432669e-10
-3.1245981e-09,-3.0116415046282074e-10
-1.6629645e-09,-1.635624710896086e-10
-1.560465e-08,-1.567276577114173e-09
-4.6232476e-09,-4.744656842579145e-10
4.1648747e-09,4.369955962159713e-10
-1.5677042e-08,-1.6826163463559342e-09
-7.777552e-10,-8.543108074208045e-11
-4.1308317e-09,-4.6456573940881983e-10
-7.808061e-09,-8.994017495281297e-10
-4.6923807e-09,-5.537951861797576e-10
-2.0839686e-09,-2.52068378230729e-10
-1.9019009e-08,-2.3582753990726205e-09
-5.223423e-09,-6.640988409205687e-10
1.2664063e-08,1.6511902624952028e-09
-1.4193313e-08,-1.89808319970894e-09
-6.2100094e-09,-8.518793025459387e-10
2.29915e-09,3.2355002427680653e-10
-1.9551372e-08,-2.8226794777619675e-09
-1.8340366e-08,-2.716521261336455e-09
-4.2483665e-09,-6.455769836585413e-10
-1.4586111e-08,-2.2739293936513806e-09
-7.822748e-09,-1.251093334396922e-09
-1.1485053e-09,-1.8842111477896474e-10
-9.8231485e-09,-1.653023932479193e-09
-1.3170517e-08,-2.27311719998743e-09
-7.973176e-09,-1.4112151835533502e-09
-5.892194e-09,-1.0693707649416881e-09
-1.1521798e-09,-2.1438880088637562e-10
-1.2583402e-08,-2.4001965225917536e-09
-5.351541e-09,-1.0462282359309648e-09
-1.3194852e-09,-2.643497641014703e-10
-5.3054037e-09,-1.0890406051883936e-09
-1.4270252e-09,-3.00074914340596e-10
1.0343921e-08,2.227788690436757e-09
-9.40838e-09,-2.07496178423227e-09
5.5318914e-09,1.2490759244456694e-09
8.618219e-09,1.9918842782660024e-09
-9.979775e-09,-2.3605239131513003e-09
9.060285e-09,2.192697468529065e-09
1.08809095e-08,2.6937549488824666e-09
8.675635e-09,2.196624805651305e-09
2.266883e-09,5.868810824663057e-10
2.0449562e-09,5.412219307748416e-10
-7.681283e-09,-2.0777762477891368e-09
-1.9043767e-11,-5.263737749677002e-12
1.0389238e-09,2.9336201327665325e-10
-3.6253978e-10,-1.0455786617807288e-10
1.122905e-09,3.3069443602030793e-10
8.00988e-09,2.408211232756655e-09
3.4455787e-09,1.0573465178477359e-09
7.3794495e-09,2.310828432383872e-09
-1.4618296e-08,-4.67015410775339e-09
-1.494028e-09,-4.86840066090723e-10
1.6085277e-08,5.345051610786233e-09
8.0986307e-10,2.743681851309408e-10
-2.0563762e-09,-7.1011213311674e-10
1.309126e-08,4.606932606100256e-09
-9.928629e-09,-3.5598365546075703e-09
3.9880876e-10,1.4565341791160503e-10
-3.6914556e-09,-1.3730115403223507e-09
-1.7690637e-08,-6.699563009464104e-09
3.4284116e-09,1.3216880247652033e-09
8.82108e-09,3.4609702546113995e-09
-9.013884e-09,-3.5986194586541873e-09
4.9724225e-09,2.019520319048511e-09
-1.0192039e-09,-4.2102373976234276e-10
6.2437566e-10,2.62280767733835e-10
-2.6000375e-09,-1.1104153807065174e-09
-5.5220983e-09,-2.3972119224968688e-09
5.79671e-09,2.5573610297086403e-09
-8.382915e-09,-3.757735231983878e-09
-4.9757194e-09,-2.2657958862061645e-09
3.2237126e-09,1.490969785135477e-09
-7.4687057e-10,-3.507680426657291e-10
-1.0512646e-08,-5.012612083713432e-09
-3.79313e-09,-1.8358748939230582e-09
-7.980425e-09,-3.919957392500335e-09
-1.7681007e-08,-8.812305773489672e-09
-1.1989663e-08,-6.0622630422604005e-09
-8.561038e-09,-4.390542413168044e-09
-1.9229084e-08,-1.0000774573051957e-08
-1.04527054e-10,-5.5119728843840163e-11
-1.1657827e-08,-6.231892908881553e-09
-2.1296819e-08,-1.1538849234356978e-08
-1.532106e-08,-8.412091270446387e-09
-1.5922161e-08,-8.857420003716535e-09
-1.3025845e-08,-7.340480450923315e-09
-9.958219e-09,-5.683783588386078e-09
-1.3834075e-08,-7.995908701420686e-09
-6.399911e-09,-3.745231155443089e-09
-1.9033475e-08,-1.127549424325407e-08
1.6025594e-09,9.608836607744086e-10
3.1257161e-09,1.8965851482061295e-09
-9.858454e-09,-6.052367745236639e-09
-1.7325652e-08,-1.0760387938728038e-08
-8.0472935e-09,-5.055204281086309e-09
-1.31396565e-08,-8.347427638441895e-09
-7.3654993e-09,-4.73129941616647e-09
-9.435055e-10,-6.127207743276164e-10
-2.8573874e-09,-1.8756772503172195e-09
-1.179389e-08,-7.824350069855272e-09
-1.2613968e-09,-8.456234639424187e-10
-1.2252481e-09,-8.298811553560566e-10
-1.8804284e-08,-1.2866135708022014e-08
6.216393e-09,4.29598406372802e-09
-7.960807e-09,-5.55581842320501e-09
-2.2502963e-08,-1.5857392004620224e-08
-1.4841824e-08,-1.055881695787006e-08
-1.4902355e-08,-1.07017328366201e-08
-1.5819674e-08,-1.1465781998925924e-08
3.023004e-11,2.2109960484423254e-11
-6.9691257e-09,-5.142889840757404e-09
5.308821e-09,3.952243571975739e-09
-1.2233767e-08,-9.18670888866332e-09
-7.266949e-09,-5.503561421296783e-09
-1.6260785e-08,-1.241833610666748e-08
-5.596026e-09,-4.308939915986798e-09
-6.6747723e-09,-5.181255378199772e-09
-5.058454e-09,-3.957888504259315e-09
-8.444834e-09,-6.659226875523902e-09
-6.6654886e-09,-5.296533517953701e-09
-5.4248477e-09,-4.343249613824965e-09
-9.830359e-10,-7.928753517371006e-10
9.531018e-09,7.743267751729714e-09
5.5421254e-09,4.534738699543412e-09
5.251948e-09,4.327420158175254e-09
-5.494832e-09,-4.558667120060519e-09
1.1785244e-08,9.843266984163172e-09
6.66669e-09,5.6049391671685844e-09
-7.739534e-09,-6.549052319629224e-09
-3.1444114e-09,-2.6776220258558142e-09
1.133365e-09,9.71112533674898e-10
-7.230299e-09,-6.2328944003981706e-09
1.3735335e-08,1.191106562841164e-08
6.8000423e-09,5.931236528866698e-09
7.804056e-09,6.84574811467009e-09
1.0942054e-08,9.65186432573399e-09
-7.2200346e-10,-6.403369532331433e-10
-3.6181902e-09,-3.225989940781825e-09
3.1949419e-09,2.863403274258812e-09
1.5161583e-09,1.3657080963800375e-09
-1.4380146e-08,-1.3017166505456547e-08
-1.7704546e-09,-1.6103639950339708e-09
6.807925e-09,6.221378157953283e-09
4.098313e-09,3.762324080109654e-09
-1.0683818e-09,-9.851530830901473e-10
-5.2543263e-09,-4.865947971808537e-09
-1.747221e-10,-1.6248702865896477e-10
1.5165798e-09,1.4161327988494228e-09
-9.304486e-09,-8.722612629157238e-09
-1.05325695e-08,-9.91178250899157e-09
1.5283008e-10,1.4435686514370784e-10
