MelBin_1,MelBin_2,MelBin_3,MelBin_4,MelBin_5,MelBin_6,MelBin_7,MelBin_8,MelBin_9,MelBin_10,MelBin_11,MelBin_12,MelBin_13,MelBin_14,MelBin_15,MelBin_16,MelBin_17,MelBin_18,MelBin_19,MelBin_20,MelBin_21,MelBin_22,MelBin_23,MelBin_24,MelBin_25,MelBin_26,MelBin_27,MelBin_28,MelBin_29,MelBin_30,MelBin_31,MelBin_32,MelBin_33,MelBin_34,MelBin_35,MelBin_36,MelBin_37,MelBin_38,MelBin_39,MelBin_40,MelBin_41,MelBin_42,MelBin_43,MelBin_44,MelBin_45,MelBin_46,MelBin_47,MelBin_48,MelBin_49,MelBin_50,MelBin_51,MelBin_52,MelBin_53,MelBin_54,MelBin_55,MelBin_56,MelBin_57,MelBin_58,MelBin_59,MelBin_60,MelBin_61,MelBin_62,MelBin_63,MelBin_64,MelBin_65,MelBin_66,MelBin_67,MelBin_68,MelBin_69,MelBin_70,MelBin_71,MelBin_72,MelBin_73,MelBin_74,MelBin_75,MelBin_76,MelBin_77,MelBin_78,MelBin_79,MelBin_80,MelBin_81,MelBin_82,MelBin_83,MelBin_84,MelBin_85,MelBin_86,MelBin_87,MelBin_88,MelBin_89,MelBin_90,MelBin_91,MelBin_92,MelBin_93,MelBin_94,MelBin_95,MelBin_96,MelBin_97,MelBin_98,MelBin_99,MelBin_100,MelBin_101,MelBin_102,MelBin_103,MelBin_104,MelBin_105,MelBin_106,MelBin_107,MelBin_108,MelBin_109,MelBin_110,MelBin_111,MelBin_112,MelBin_113,MelBin_114,MelBin_115,MelBin_116,MelBin_117,MelBin_118,MelBin_119,MelBin_120,MelBin_121,MelBin_122,MelBin_123,MelBin_124,MelBin_125,MelBin_126,MelBin_127,MelBin_128
0.11788924,0.10730643,0.06258296,0.020810395,0.0051083737,0.0018188979,0.0006664599,0.00033200794,0.000254666,0.00024093274,0.00023561594,0.00019804688,0.0005067976,0.0010762599,0.0014065655,0.0010284849,0.00054578646,0.00028761773,0.0007694769,0.001541374,0.0022851345,0.0019956236,0.00141303,0.00074493245,0.00040957888,0.00018019513,6.383679e-05,0.00016703052,0.00021743162,0.0001380727,0.00016901547,0.00018815322,0.00014368548,3.7791135e-05,8.8614055e-05,0.00014409178,0.0001350826,0.00010596147,8.575761e-05,8.499419e-05,9.793216e-05,0.00011771715,0.00012662535,0.0001366139,0.00014732216,9.0339185e-05,3.2307325e-05,1.1340106e-05,4.748668e-05,9.526375e-05,0.00017748453,0.0002458665,0.0001954743,0.00010095947,7.426222e-05,0.00030070153,0.00072044006,0.0006471091,0.00022755328,4.316907e-05,6.4375445e-06,9.427762e-06,2.1237815e-05,2.557602e-05,2.7810976e-05,7.300699e-05,6.6141365e-05,4.9507224e-05,0.00017222908,0.00030651563,0.00035159138,0.0001479514,0.0001248424,7.8768455e-05,2.4980853e-05,4.682807e-05,3.3948738e-05,3.0208597e-05,6.918541e-05,1.746279e-05,4.6398563e-06,6.200472e-06,1.6711725e-05,2.8484086e-05,9.798718e-06,3.9870115e-06,1.2839035e-05,9.93271e-06,3.3278363e-06,8.288667e-06,8.594321e-06,4.716322e-06,3.1251152e-06,2.9260432e-06,2.593878e-06,2.9556438e-06,3.6801273e-06,4.0010273e-06,2.9696728e-06,2.8008842e-06,2.787959e-06,2.6721107e-06,2.928339e-06,2.9634195e-06,3.6232623e-06,3.267656e-06,3.060385e-06,3.0092012e-06,2.8265179e-06,2.9119738e-06,3.0620563e-06,2.9890125e-06,2.9382718e-06,3.3816773e-06,3.1633099e-06,2.7833198e-06,1.7347611e-06,3.01823e-06,2.203542e-06,1.5975792e-06,9.107839e-07,1.121147e-06,8.4912347e-07,9.965761e-07,1.0565891e-06,8.981414e-07,3.3590197e-07,1.1284759e-08
17.229824,28.600353,4.2827926,0.31005174,0.15173197,0.04520253,0.011431346,0.008323916,0.0077723777,0.0062294947,0.0045505874,0.0049961843,0.02797708,0.22497398,0.10813829,0.07343413,0.057014696,0.011805691,0.078409046,0.057419673,0.16578357,0.13393828,0.038729705,0.03793915,0.015274826,0.036559425,0.039497994,0.027201131,0.055602893,0.011976875,0.017272752,0.02198696,0.008110902,0.002430223,0.0040288703,0.0063289823,0.010394383,0.004776724,0.0049760984,0.0025507477,0.0034623258,0.0057772878,0.0047096023,0.0027251462,0.007185044,0.0045337155,0.0049610445,0.0058422065,0.0034632818,0.0032061026,0.008655918,0.031236647,0.04371509,0.021940649,0.027187347,0.03365151,0.19459242,0.12947266,0.023796707,0.016823042,0.010349216,0.0049028927,0.0057368977,0.0048589176,0.0025537668,0.0071478738,0.003957498,0.005260828,0.021483291,0.039266333,0.036914892,0.011782758,0.0056470474,0.0057998905,0.008521926,0.005062636,0.0023114958,0.002563069,0.0062827733,0.0025693567,0.00038236252,0.0004495745,0.00071603956,0.002105345,0.0007026749,0.00046744873,0.00065074203,0.0006575176,0.00033791136,0.00037859223,0.00031492914,0.0004129219,0.00018839979,7.984085e-05,6.1539955e-05,8.711619e-05,0.00011106631,8.527214e-05,8.1959166e-05,7.128464e-05,6.2575826e-05,6.158737e-05,7.6881865e-05,7.019571e-05,8.6436994e-05,8.114661e-05,7.100345e-05,5.879872e-05,6.3048996e-05,7.166938e-05,6.394904e-05,6.6111475e-05,7.01252e-05,7.131712e-05,7.4065305e-05,6.07771e-05,3.8256607e-05,5.6792614e-05,5.063842e-05,3.1852396e-05,2.1206424e-05,2.1090164e-05,1.7295884e-05,2.2623819e-05,2.2864799e-05,2.0997857e-05,7.645998e-06,2.532786e-07
97.28322,116.24166,7.512715,0.39347303,0.20703933,0.11090529,0.05349207,0.037687268,0.048133552,0.0365312,0.020284204,0.03698615,0.16451627,1.3472466,1.2183855,0.8452465,0.58419204,0.38029498,0.97312987,1.2673031,0.87758756,0.58897364,0.3151427,0.13019383,0.09133412,0.16712391,0.2548744,0.2894159,0.22562724,0.043567304,0.053716354,0.065942556,0.028944539,0.06068039,0.022339754,0.02088392,0.027558709,0.09086622,0.08518242,0.0676211,0.029461462,0.01528666,0.0076056663,0.011044297,0.022673994,0.025071442,0.016827267,0.023926772,0.017995484,0.018430477,0.058094703,0.075132154,0.28230143,0.20603752,0.22897771,0.28136086,0.87359166,0.3702441,0.20069852,0.19055144,0.100751445,0.044963613,0.024946209,0.027152874,0.031454615,0.046079554,0.06071471,0.046687342,0.09852606,0.45801723,0.4261589,0.07405561,0.025597325,0.047000483,0.06935193,0.058238555,0.06023188,0.041673973,0.032293484,0.014980132,0.0055324454,0.0030463315,0.0056919176,0.022585746,0.00919723,0.005283006,0.0031128763,0.0047326656,0.0036640554,0.001980962,0.0025290074,0.002207811,0.0007363887,0.00012549016,9.240543e-05,0.00035342443,0.00047539684,0.00015084512,0.00019608534,9.683486e-05,8.948769e-05,9.525326e-05,9.0788104e-05,7.907799e-05,8.0398735e-05,7.360676e-05,6.330005e-05,5.0492992e-05,5.8686994e-05,6.731131e-05,5.645346e-05,6.260793e-05,6.3274354e-05,6.276755e-05,7.1564966e-05,5.5621258e-05,3.3777338e-05,4.771667e-05,4.5869052e-05,3.0079464e-05,2.5412566e-05,2.032936e-05,1.5545611e-05,2.0604322e-05,1.9849082e-05,1.8933166e-05,7.0303804e-06,2.2504454e-07
238.46774,213.08978,15.655502,1.5474772,0.784987,0.4222312,0.18155327,0.115520835,0.11182843,0.05179178,0.05771005,0.6709784,2.0232258,2.3817067,7.659837,2.4099782,1.3071334,1.644521,2.1251998,3.5281153,7.7790565,4.8824167,2.0531445,0.53461057,1.1520855,0.8657123,2.084404,1.1922423,0.34785014,0.056198448,0.15092383,0.1905514,0.16780007,0.39098218,0.13800403,0.117547706,0.1081468,0.17854449,0.30372858,0.15306774,0.113650426,0.04236611,0.009143023,0.030475788,0.10141125,0.042371124,0.1107834,0.04121104,0.077764645,0.050301835,0.2406016,0.26642632,0.3731386,0.927613,1.164159,3.1108825,3.1255705,0.7615454,0.38100785,0.50284714,0.160493,0.11925416,0.045937754,0.053519614,0.20235935,0.17086758,0.22216178,0.11215173,0.2029089,0.51673156,0.8663691,0.3842394,0.18161815,0.24637768,0.1223886,0.19242893,0.40899187,0.21467197,0.0887045,0.05062236,0.021003755,0.007710233,0.024758305,0.085665755,0.029174566,0.009872908,0.015387373,0.016882557,0.017092844,0.006567827,0.0116663575,0.0108207,0.0019056044,0.00025333025,0.00015595058,0.0009521952,0.0011768753,0.0006588241,0.0005365402,0.00015533493,0.0001503012,0.00016168169,0.000118501775,9.768084e-05,2.3839446e-05,6.695992e-06,6.7204146e-06,1.1543888e-05,2.0115878e-05,1.7922344e-05,1.620743e-05,3.430531e-05,1.9592153e-05,2.2336953e-05,3.837818e-05,2.0690924e-05,3.1504155e-06,3.4488344e-06,8.644514e-06,1.3101457e-05,4.040182e-05,2.68825e-05,4.5038796e-06,2.956262e-06,1.96593e-06,2.1551498e-06,1.4381446e-06,4.8602224e-08
1370.77,1122.9099,145.46048,7.154678,7.4275913,3.2558448,0.34929186,0.36621696,0.39715087,0.06997043,0.28349072,5.0769095,15.726887,17.071342,9.509073,2.4446318,4.2276454,4.698662,2.0175533,4.4404125,17.446358,11.351954,5.8072004,1.1267439,1.7637403,1.6500405,5.759483,5.1844163,1.3818829,0.57174355,0.7658728,0.3976751,0.30431333,1.054593,0.27293897,0.118629456,0.17985663,0.18870115,0.840981,0.38999608,0.30386895,0.16745508,0.015535785,0.029527046,0.20815934,0.11066663,0.47773817,0.17584455,0.08708521,0.055487446,0.44655252,0.557306,0.5978426,3.776979,5.2555594,3.7710521,3.4410305,2.2279234,0.9417461,0.93919355,0.85977465,0.45464084,0.46086347,0.15319556,0.5910897,0.21741627,0.25756907,0.38303214,1.0026528,1.239274,1.7999454,0.80908906,0.24717051,0.2654189,0.24781191,0.5486133,0.6205032,0.62946844,0.21575418,0.26275456,0.079558246,0.023078755,0.050636023,0.19623846,0.086902544,0.0416552,0.046930447,0.050621875,0.04843709,0.03576618,0.024766728,0.01572099,0.007200627,0.0010939166,0.001184414,0.0020272518,0.0038634297,0.0018701616,0.0013789857,0.0003626144,0.00023236475,0.0005118563,0.00038315356,0.00038066538,4.7090718e-05,4.745906e-06,8.844681e-06,6.2896497e-06,2.6301728e-05,6.749617e-05,4.584828e-05,7.2942574e-05,3.428527e-05,4.3771593e-05,6.194869e-05,3.331061e-05,4.076892e-06,6.90043e-06,1.2059154e-05,2.3722863e-05,6.295794e-05,6.0146904e-05,7.82234e-06,3.1103818e-06,2.4932824e-06,2.816661e-06,2.654233e-06,1.0406417e-07
1570.3887,658.6942,226.17654,15.551372,6.3366356,5.4837418,1.9308456,1.0400071,0.67228055,0.28212017,0.51102763,6.4070616,21.98442,34.724068,13.931755,3.1598873,13.008491,7.550618,1.9750824,14.050001,32.221584,7.618327,3.9111018,3.2066813,2.2527797,3.0373206,4.1012106,5.052303,1.5285324,2.1419582,2.202644,0.4849177,0.30140305,1.205386,0.27259654,0.12089407,0.3507002,0.45013818,1.6066921,0.7005725,0.37367684,0.1614252,0.0721671,0.06705635,0.1616576,0.2941252,0.51579344,0.3002563,0.09352258,0.12950939,0.46716663,0.78897965,0.86393,3.334546,6.718961,3.418271,6.287383,2.8486881,1.2078366,1.0487976,1.2671747,0.78039813,1.0537639,0.36513436,0.41966558,0.33407405,0.46970177,1.627349,1.7228494,1.4446481,1.5934601,1.2584847,0.24184197,0.4758594,0.27021688,0.6614179,0.3478856,0.94077206,0.4324692,0.2388704,0.09752889,0.018544342,0.033484492,0.2604745,0.22778794,0.06893897,0.061853744,0.079540715,0.06503004,0.08664481,0.051783696,0.009748483,0.0061125625,0.0026130811,0.0023286208,0.002922385,0.004496726,0.0017909852,0.0011648111,0.0006000777,0.00033420487,0.0005532864,0.00045878257,0.0004514347,6.1652696e-05,2.451657e-06,4.836378e-06,9.868734e-07,3.2878783e-05,7.598444e-05,6.132357e-05,9.889089e-05,3.0279734e-05,4.6877445e-05,7.0430935e-05,1.9583793e-05,3.496343e-06,9.135971e-06,9.456531e-06,3.07608e-05,6.994672e-05,6.113502e-05,5.665557e-06,2.5737613e-06,1.6238089e-06,3.2587996e-06,2.7784477e-06,1.4060998e-07
367.94073,232.59866,101.4442,9.8433695,0.3689268,0.812387,1.685827,0.6349225,0.27163333,0.19581181,0.41089517,1.7313968,2.7106767,6.4624586,4.770328,2.2484155,6.80025,2.747418,2.6190994,12.952116,11.438763,2.2305112,1.6284707,1.7870148,2.3020737,1.7602189,3.3379571,4.214972,1.033896,0.78767276,0.77952135,0.15576325,0.24865824,0.25499982,0.065733574,0.054609366,0.15596907,0.14517245,0.36242014,0.18487692,0.056134716,0.06549166,0.06449597,0.037823565,0.07467759,0.17339385,0.32952484,0.19922692,0.05021543,0.109881535,0.4148962,0.5189762,0.694916,1.2294357,4.501421,2.4759264,5.7939425,1.3822019,0.5055802,0.5140072,0.37134475,0.30367023,0.526323,0.26809657,0.10497208,0.14327767,0.34803322,1.021954,1.0209999,0.7882081,0.983783,1.1432726,0.37789306,0.5885303,0.18503863,0.24483636,0.15887666,0.25640565,0.25939912,0.049762182,0.030769803,0.012393294,0.018871523,0.16196609,0.09581205,0.022179922,0.02503125,0.04969229,0.05994661,0.08682901,0.052161057,0.010020671,0.0038755268,0.002444504,0.0019274428,0.0013538611,0.0012175865,0.0009816427,0.00047779994,0.00022326518,0.00018143051,0.00019900182,0.00018349223,0.00013098482,5.259463e-05,9.209933e-06,1.6275442e-05,3.9470997e-06,1.941186e-05,2.9372331e-05,2.2165386e-05,6.125708e-05,2.5926012e-05,2.5412071e-05,3.707347e-05,1.206931e-05,4.827959e-06,7.323581e-06,4.3718856e-06,1.326069e-05,4.888983e-05,3.718929e-05,4.341292e-06,1.4554346e-06,9.1550515e-07,2.0064235e-06,1.17101e-06,7.119377e-08
56.97464,134.90785,23.895626,2.5839233,0.3918949,0.08251202,0.27047423,0.04619072,0.07748505,0.05369861,0.26651943,1.0481403,0.30171293,0.3079273,0.8699109,0.55776715,0.6676774,1.0971773,0.8476579,2.1803231,0.91881967,0.48738825,0.5596677,0.3448859,0.35714814,0.41119093,1.2788045,2.591901,0.717207,0.088748164,0.048627175,0.062991716,0.0794169,0.048788726,0.0362724,0.019564778,0.010529462,0.018291568,0.047818616,0.016900836,0.02407996,0.021873325,0.01565585,0.020882376,0.03169491,0.029253488,0.13579437,0.054982074,0.038611475,0.14959358,0.37482256,0.398497,0.5588074,0.7099486,1.0431494,0.81172556,1.5787644,0.7633258,0.1408506,0.12062058,0.1899591,0.10482774,0.17173374,0.07099554,0.059536085,0.020596456,0.108141914,0.09742914,0.35672224,0.4236522,0.31944877,0.24432842,0.09759647,0.12278436,0.07345012,0.11384544,0.1692157,0.115021534,0.06876985,0.022380805,0.00825563,0.008045104,0.015679501,0.058217984,0.021295723,0.010029133,0.007849354,0.010335006,0.031044366,0.04375586,0.012680458,0.008833239,0.0017797479,0.0005732153,0.0009608414,0.00025071052,0.00041501725,0.00033166536,0.0001870716,3.6121695e-05,5.0133247e-05,7.005211e-05,5.405368e-05,3.5565667e-05,3.3933662e-05,1.5486097e-05,1.1585409e-05,5.728011e-06,1.0466776e-05,1.4357127e-05,9.840528e-06,3.005465e-05,1.8878163e-05,7.69327e-06,1.6390366e-05,1.007686e-05,4.3914206e-06,4.2993097e-06,3.2537882e-06,6.5751e-06,2.0414054e-05,1.7020824e-05,2.6501825e-06,2.8364016e-06,1.8235693e-06,1.4403197e-06,1.1439768e-06,4.9866948e-08
20.565922,36.25761,5.655697,0.5215061,0.15518707,0.04305175,0.056214444,0.022762459,0.012089375,0.011108264,0.050319754,0.10966194,0.16270493,0.15857868,0.38352448,0.1283012,0.12636495,0.38106933,0.23655878,0.365093,0.29774225,0.45603198,0.34966794,0.099336565,0.083240405,0.09945206,0.09961872,0.4753732,0.5488676,0.07610922,0.036411636,0.016432941,0.014819076,0.018803257,0.029880654,0.008964022,0.008552507,0.0049908273,0.010851637,0.008208386,0.014659476,0.009656096,0.011781159,0.017986512,0.0106837675,0.003079252,0.011882506,0.011087162,0.017752491,0.06638263,0.086112514,0.20101559,0.21437913,0.19776136,0.046883643,0.15939835,0.35973158,0.26602495,0.07247078,0.019832257,0.047922283,0.024175284,0.021792915,0.018707115,0.025304874,0.010907835,0.02217023,0.027386574,0.053870328,0.07703605,0.06872528,0.011872429,0.00857855,0.010998394,0.02238362,0.024022803,0.036678016,0.05111044,0.029141206,0.00792264,0.0016747254,0.0010003865,0.00205125,0.005272461,0.0035200997,0.0043819705,0.0025042752,0.0011800824,0.0076752454,0.007902637,0.0023735818,0.0017115083,0.00023413831,0.00019904424,0.00025468078,6.329416e-05,0.00015400675,0.000104016406,6.400596e-05,4.1734078e-05,1.588636e-05,1.176254e-05,9.447596e-06,1.065639e-05,1.0733736e-05,6.690299e-06,5.7049915e-06,4.5932147e-06,3.6743004e-06,6.7598858e-06,4.735947e-06,8.898473e-06,6.44386e-06,3.8363733e-06,8.437173e-06,5.938917e-06,2.6020473e-06,2.4070416e-06,2.831729e-06,3.176357e-06,6.439811e-06,4.489217e-06,1.5063466e-06,2.3199173e-06,1.982594e-06,8.91816e-07,6.403188e-07,2.4586065e-08
1.7798495,1.9674282,0.32549417,0.13177648,0.020728251,0.002536695,0.0013859591,0.0033339025,0.00092179154,0.0019570845,0.0018306563,0.009837702,0.040530197,0.034449503,0.022432668,0.004678825,0.0060419105,0.013284762,0.020870913,0.007752936,0.013912909,0.06690195,0.059212025,0.017430838,0.0023747222,0.0035792887,0.010425087,0.022042818,0.04297085,0.026064657,0.007778503,0.004406907,0.0005301155,0.00049949146,0.0018975438,0.0008898612,0.0011262726,0.002060523,0.0017923294,0.0013976246,0.001182558,0.0020946506,0.0009964796,0.002216472,0.0007053418,0.0003591602,0.00087750296,0.0019276412,0.00074616435,0.0024744174,0.002633971,0.0128652565,0.016698042,0.006410542,0.008564692,0.004712942,0.031168032,0.04785923,0.01917648,0.0023772826,0.0026227147,0.0017540399,0.0023270356,0.0023634648,0.0026441738,0.003803529,0.002608806,0.00367838,0.0035567875,0.016339038,0.016359909,0.002212291,0.00056233874,0.0015401822,0.0027134577,0.0030621288,0.002041643,0.004366845,0.0034473198,0.00046317527,5.887501e-05,8.2559556e-05,0.000112546724,0.00030831463,0.00022197337,0.00035081958,0.00021679801,7.751737e-05,0.00039363297,0.00050252315,0.00022997256,2.887593e-05,2.2464446e-05,3.2208554e-05,3.942953e-05,1.4554615e-05,1.8909504e-05,1.1467202e-05,4.960063e-06,7.368848e-06,1.8149819e-06,2.9309188e-06,3.6748252e-06,3.949836e-06,4.806495e-06,2.89349e-06,2.5265379e-06,1.5255965e-06,4.7301307e-07,2.2980682e-06,1.6022228e-06,2.826771e-06,3.0170415e-06,1.4853463e-06,2.6556195e-06,1.7908848e-06,1.8014325e-06,2.1016504e-06,9.482135e-07,9.557389e-07,1.7783009e-06,1.3259687e-06,8.661749e-07,7.616437e-07,8.210551e-07,6.116236e-07,2.0960394e-07,6.0578085e-09
